"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"290","The 2016 #MacBookPro Keyboard May Fail Twice As Often As Older Models https://t.co/lL2RjpUPe8 https://t.co/ySyrWbYMoL",FALSE,0,NA,2018-05-01 18:16:57,FALSE,NA,"991380972397457408",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TotalICT",0,FALSE,FALSE,"-2.99511602","53.42588146"
"291","Well, this is going to be interesting. #macbookpro https://t.co/DRQeuU1koq",FALSE,0,NA,2018-05-01 17:33:02,FALSE,NA,"991369922394681344",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","harry_ramsay",0,FALSE,FALSE,NA,NA
"292","This will be said a lot, but I cannot thank @Apple and @tim_cook enough for the #iPhone, #iPad, and most importantl‚Ä¶ https://t.co/wqCbmPVsSy",FALSE,2,NA,2018-05-01 16:55:44,TRUE,NA,"991360532698533888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WolfGangMishima",0,FALSE,FALSE,NA,NA
"293","RT @Immac_Laptops: Looking for an Apple Mac but don't want to pay full price? Try Immaculate Laptops on eBay! https://t.co/FVeRGskId7 ‚Ä¶ #ma‚Ä¶",FALSE,0,NA,2018-05-01 16:50:43,FALSE,NA,"991359271572049920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BelfastHourNI",4,TRUE,FALSE,NA,NA
"294","Save $100-$200 on a new 2017 13‚Ä≥ Touch Bar MacBook Pro with these deals at B&amp;H. #apple #macbook #macbookpro ... Ful‚Ä¶ https://t.co/eGySN2Zb6L",FALSE,0,NA,2018-05-01 16:44:55,TRUE,NA,"991357811878711296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MacBookShopper",0,FALSE,FALSE,NA,NA
"295","Tuesday roundup of 15‚Ä≥ MacBook Pro sale prices, models up to $250 off MSRP at Apple resellers. #apple #macbook‚Ä¶ https://t.co/gENhRdNlui",FALSE,0,NA,2018-05-01 16:43:30,TRUE,NA,"991357456033943553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MacBookShopper",0,FALSE,FALSE,NA,NA
"296","Well, so chance for 32GB in MacBook Pros in this year is totally lost? Ì†ΩÌ∏°Ì†ΩÌ∏¢ #apple #macbookpro",FALSE,0,NA,2018-05-01 16:34:58,FALSE,NA,"991355306092519425",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","AleksanderKania",0,FALSE,FALSE,NA,NA
"297",".
""Can I just take a second to recognise whoever is responsible for the built-in wallpapers on the new #MacBookPro‚Ä¶ https://t.co/8BLqfMX5Q0",FALSE,0,NA,2018-05-01 16:34:34,TRUE,NA,"991355206070947846",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FidelisMaximus",0,FALSE,FALSE,NA,NA
"298","Tastatur-Probleme am MacBook Pro #macbookpro #keyboard https://t.co/3E1SipyTBR https://t.co/h90b1MuokN",FALSE,0,NA,2018-05-01 16:33:44,FALSE,NA,"991354998318600192",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","hightechblech",0,FALSE,FALSE,NA,NA
"299","#Apple's 2016 #MacBookPro 'Butterfly' Keyboards Reportedly Failing At An Alarming Rate https://t.co/zyO9j8vw5f via @HotHardware",FALSE,3,NA,2018-05-01 16:25:49,FALSE,NA,"991353005747392512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HotHardware",0,FALSE,FALSE,NA,NA
